club_name,league,annual_revenue_eur_m,wage_to_revenue,operating_cash_flow_eur_m,debt_to_assets,regulatory_headroom_eur_m,uefa_coefficient_trend,league_position_trend,broadcast_revenue_share,payment_timeliness_score,management_tenure_years,true_pd,defaulted
Olympia Dollard,Eredivisie,109.6,0.742,52.6,0.225,8.6,-6.34,-5.83,0.391,0.112,11.2,0.0591,0
FC Maasdijk,Eredivisie,83.0,0.773,8.3,0.327,35.5,1.65,-6.08,0.623,0.369,11.0,0.0095,0
FC Waldkirchen,Bundesliga,92.8,0.767,14.6,0.796,47.2,13.52,1.01,0.228,0.517,4.6,0.0031,0
RKC Zandvoort-Noord,Eredivisie,153.9,1.033,26.5,0.822,16.5,-5.02,9.91,0.647,0.92,0.4,0.0541,0
Sparta Veenendaal,Eredivisie,140.0,0.892,4.6,0.504,15.5,-1.82,-0.2,0.334,0.817,0.5,0.0527,0
VV Polderkamp,Eredivisie,165.2,0.699,61.3,0.494,37.3,11.66,-3.38,0.221,0.386,5.4,0.0031,0
SpVgg Lindenau,Bundesliga,87.9,0.742,48.2,0.716,-3.1,-5.03,0.75,0.481,0.886,10.0,0.0049,0
Royal Ardennes FC,Belgian Pro League,179.2,0.73,63.7,0.192,17.1,-3.58,-8.71,0.312,0.378,10.2,0.0083,0
Royal Ardennes FC,Belgian Pro League,82.7,0.57,54.2,0.497,26.2,-5.88,-6.46,0.43,0.271,4.9,0.0181,0
SC Lindehoven,Eredivisie,164.6,0.787,38.6,0.241,39.5,9.29,-7.02,0.601,0.61,3.6,0.0023,0
FC Walloon Rovers,Belgian Pro League,151.2,0.941,20.2,0.442,33.7,12.91,-9.44,0.596,0.356,6.1,0.0369,0
SC Eichberg,Bundesliga,60.1,0.905,40.2,0.867,36.9,3.93,4.44,0.5,0.622,10.0,0.0038,0
VfL Donaustein,Bundesliga,176.5,0.611,-9.7,0.653,36.9,3.71,-3.49,0.689,0.41,7.6,0.0376,0
Union Kempen,Belgian Pro League,122.2,0.911,46.3,0.832,17.6,-3.3,-6.63,0.432,0.796,1.7,0.0761,0
FC Hertenbos,Eredivisie,238.7,0.853,34.1,0.613,37.3,-14.63,0.24,0.22,0.954,4.3,0.003,0
SC Eichberg,Bundesliga,108.2,0.676,32.2,0.599,45.5,-9.78,-3.53,0.61,0.27,6.7,0.016,0
SC Lindehoven,Eredivisie,219.7,0.811,22.3,0.629,17.7,-10.58,-2.14,0.311,0.51,6.5,0.0584,0
Borussia Talheim,Bundesliga,87.1,0.867,6.3,0.643,46.3,-11.52,-3.69,0.288,0.724,10.0,0.0076,0
FC Hertenbos,Eredivisie,50.8,1.002,-23.9,0.539,35.5,4.62,-9.92,0.235,0.159,11.2,0.4626,0
Sparta Veenendaal,Eredivisie,196.5,0.569,23.4,0.346,27.0,-10.91,3.77,0.364,0.796,1.2,0.0005,0
FC Nordhafen,Bundesliga,45.0,0.67,4.4,0.579,-2.6,-12.43,-7.79,0.363,0.583,2.7,0.1979,1
VV Polderkamp,Eredivisie,68.0,0.81,-7.0,0.398,2.4,-3.52,-5.62,0.351,0.15,4.7,0.4541,1
KVC Houtland,Belgian Pro League,204.6,0.517,10.8,0.466,44.5,-7.53,-6.19,0.497,0.868,3.6,0.0013,0
RKC Zandvoort-Noord,Eredivisie,119.8,0.75,26.7,0.296,-2.6,-10.62,-3.37,0.576,0.427,4.9,0.0717,0
SC Lindehoven,Eredivisie,144.3,0.932,9.1,0.551,13.4,-10.62,-6.8,0.669,0.177,0.5,0.7895,1
TSV Mooshausen,Bundesliga,185.6,0.58,53.4,0.322,32.3,-7.31,-3.06,0.247,0.195,0.8,0.0118,0
FC Waldkirchen,Bundesliga,179.1,0.745,-2.7,0.357,43.6,1.11,-5.13,0.275,0.786,10.1,0.0013,0
SpVgg Lindenau,Bundesliga,110.9,1.052,25.2,0.527,32.3,7.74,-8.78,0.495,0.936,1.2,0.0319,0
KV Scheldebrug,Belgian Pro League,41.1,0.833,-15.2,0.352,34.1,10.58,7.41,0.249,0.378,9.9,0.0025,0
FC Nordhafen,Bundesliga,81.3,0.811,17.9,0.841,13.4,7.54,-3.89,0.385,0.079,3.7,0.4016,0
VfL Donaustein,Bundesliga,92.1,0.837,21.0,0.505,-3.4,3.85,-8.09,0.512,0.101,3.7,0.6785,1
SK Meerhout,Belgian Pro League,204.0,0.591,41.1,0.38,35.8,12.23,0.43,0.59,0.654,1.2,0.0013,0
SpVgg Lindenau,Bundesliga,217.8,0.565,26.2,0.166,7.3,0.59,-7.53,0.309,0.371,0.2,0.009,0
VV Polderkamp,Eredivisie,58.0,0.915,13.7,0.778,19.4,4.0,5.46,0.534,0.426,4.3,0.2961,0
Borussia Talheim,Bundesliga,114.5,0.742,-4.9,0.607,49.9,-2.65,-8.77,0.523,0.337,10.0,0.0286,0
KV Scheldebrug,Belgian Pro League,236.5,0.63,31.2,0.403,27.5,-5.18,-0.71,0.63,0.466,11.0,0.0029,0
FC Hertenbos,Eredivisie,118.3,0.551,10.3,0.361,35.6,-5.05,8.88,0.357,0.644,0.7,0.0002,0
KAS Dendermonde-West,Belgian Pro League,170.3,0.95,39.0,0.651,25.3,-10.55,-6.82,0.575,0.541,0.4,0.1646,0
Borussia Talheim,Bundesliga,166.6,0.529,20.8,0.781,47.4,8.9,-5.97,0.576,0.164,1.9,0.0234,0
Olympia Dollard,Eredivisie,161.2,0.904,46.6,0.423,12.1,-13.34,2.01,0.32,0.491,9.2,0.0692,0
FC Waldkirchen,Bundesliga,109.5,0.737,13.4,0.295,21.0,5.24,9.6,0.511,0.461,2.5,0.0104,0
FC Nordhafen,Bundesliga,65.3,0.87,-6.5,0.304,-2.4,10.93,-2.28,0.538,0.546,2.8,0.0828,0
Royal Ardennes FC,Belgian Pro League,149.4,0.649,6.3,0.19,30.8,-0.08,2.97,0.337,0.111,10.7,0.0024,0
FC Hertenbos,Eredivisie,177.3,0.588,-8.0,0.646,13.5,-12.89,-6.95,0.426,0.154,10.5,0.3811,0
Sparta Veenendaal,Eredivisie,48.9,0.844,15.0,0.872,18.3,-2.15,2.83,0.418,0.53,8.0,0.2845,0
FC Maasdijk,Eredivisie,247.9,0.836,60.8,0.765,34.1,-4.7,-4.95,0.587,0.275,2.0,0.084,0
Borussia Talheim,Bundesliga,29.3,0.677,30.3,0.757,-5.9,14.57,2.27,0.2,0.629,4.6,0.0122,0
FC Walloon Rovers,Belgian Pro League,35.1,0.8,5.5,0.355,23.1,5.74,-8.23,0.451,0.373,2.8,0.039,0
KVC Houtland,Belgian Pro League,64.1,0.791,-9.7,0.861,-0.1,6.64,0.5,0.292,0.221,8.1,0.605,1
VfL Donaustein,Bundesliga,99.7,0.655,45.9,0.424,10.4,0.47,-5.25,0.523,0.656,9.4,0.0021,0
SC Eichberg,Bundesliga,130.6,0.822,-12.6,0.41,-9.4,6.28,3.63,0.54,0.394,1.7,0.0878,0
SC Eichberg,Bundesliga,121.1,0.609,12.7,0.642,5.3,6.68,4.95,0.451,0.158,10.8,0.1557,0
RKC Zandvoort-Noord,Eredivisie,133.4,0.792,49.3,0.227,48.7,-13.01,6.96,0.471,0.809,5.6,0.0003,0
FC Waldkirchen,Bundesliga,93.8,0.605,9.0,0.746,55.2,-8.32,9.85,0.358,0.432,9.5,0.0109,0
FC Walloon Rovers,Belgian Pro League,228.0,0.736,3.6,0.779,34.4,-14.61,-0.81,0.357,0.915,0.6,0.0112,0
FC Nordhafen,Bundesliga,99.4,0.705,-0.2,0.711,28.9,0.29,3.41,0.573,0.193,4.3,0.0889,0
RKC Zandvoort-Noord,Eredivisie,116.7,0.77,27.6,0.705,36.8,11.27,-9.63,0.266,0.876,0.2,0.0062,0
FC Maasdijk,Eredivisie,65.5,0.784,-12.9,0.484,43.5,3.29,8.1,0.586,0.816,8.6,0.0006,0
SK Meerhout,Belgian Pro League,122.6,1.004,32.5,0.244,14.1,0.01,2.31,0.528,0.104,1.0,0.4677,0
Union Kempen,Belgian Pro League,203.6,0.75,25.4,0.662,-7.1,12.78,-1.57,0.642,0.532,4.1,0.0788,0
FC Maasdijk,Eredivisie,229.2,0.908,20.4,0.523,28.5,-9.83,-1.31,0.33,0.654,9.4,0.0166,0
FC Waldkirchen,Bundesliga,170.4,0.627,6.3,0.756,53.6,-12.76,5.16,0.453,0.495,9.0,0.0081,0
KAS Dendermonde-West,Belgian Pro League,138.8,0.708,47.4,0.266,7.5,12.52,6.67,0.219,0.39,7.7,0.0015,0
FC Hertenbos,Eredivisie,113.2,0.576,11.5,0.402,23.9,12.08,6.16,0.656,0.944,8.3,0.0001,0
Sparta Veenendaal,Eredivisie,172.3,0.728,44.8,0.404,13.1,5.49,0.21,0.538,0.701,7.8,0.0026,0
FC Waldkirchen,Bundesliga,96.9,0.892,13.0,0.653,9.8,-7.62,-2.58,0.511,0.966,7.7,0.0386,0
FC Waldkirchen,Bundesliga,162.7,0.95,-6.1,0.683,27.9,14.09,8.91,0.566,0.846,4.2,0.0155,0
Borussia Talheim,Bundesliga,135.4,0.821,17.5,0.809,11.3,7.96,2.68,0.342,0.817,0.3,0.016,0
KVC Houtland,Belgian Pro League,147.0,0.854,24.1,0.377,44.0,5.22,0.87,0.502,0.726,5.3,0.0044,0
KVC Houtland,Belgian Pro League,206.0,0.586,27.2,0.47,43.2,-8.31,1.97,0.6,0.646,0.5,0.0012,0
VfL Donaustein,Bundesliga,60.2,0.581,37.6,0.256,-2.4,0.39,2.6,0.245,0.887,5.6,0.0001,0
SC Lindehoven,Eredivisie,145.2,0.934,54.9,0.35,34.2,9.68,4.26,0.679,0.613,5.6,0.0027,0
FC Hertenbos,Eredivisie,125.2,0.618,43.0,0.439,41.2,10.81,1.06,0.646,0.075,2.1,0.0143,0
Sparta Veenendaal,Eredivisie,161.4,0.562,31.5,0.559,27.6,1.84,7.51,0.682,0.583,9.4,0.0024,0
AFC Kanaalstad,Eredivisie,157.4,1.004,27.9,0.483,12.8,0.68,7.19,0.604,0.103,8.5,0.5313,0
FC Waldkirchen,Bundesliga,147.7,1.022,34.7,0.42,32.5,5.93,-1.15,0.347,0.949,6.7,0.0016,0
AFC Kanaalstad,Eredivisie,197.1,0.818,13.0,0.558,14.2,0.85,-6.63,0.491,0.647,11.1,0.0366,0
VfL Donaustein,Bundesliga,227.6,0.681,57.0,0.672,2.5,-2.47,1.53,0.26,0.556,3.4,0.0065,0
FC Hertenbos,Eredivisie,119.3,0.967,47.7,0.358,2.9,-12.44,2.41,0.577,0.198,3.1,0.8013,1
Royal Ardennes FC,Belgian Pro League,92.8,0.653,-0.8,0.438,9.7,-11.22,0.47,0.277,0.516,2.2,0.0246,0
SC Eichberg,Bundesliga,44.1,0.792,42.4,0.697,30.3,7.81,7.81,0.633,0.343,6.5,0.0084,0
FC Walloon Rovers,Belgian Pro League,239.5,0.664,61.2,0.632,4.2,-14.26,-8.14,0.32,0.675,2.5,0.0085,0
Borussia Talheim,Bundesliga,72.6,1.03,8.9,0.758,20.8,-13.43,-4.25,0.28,0.604,10.4,0.0983,0
VV Polderkamp,Eredivisie,113.1,1.015,51.0,0.341,10.6,12.14,7.32,0.235,0.499,3.7,0.0202,0
FC Walloon Rovers,Belgian Pro League,125.6,0.869,-8.3,0.545,37.5,6.12,8.79,0.556,0.253,5.9,0.1296,1
Olympia Dollard,Eredivisie,85.3,0.607,-20.2,0.799,24.3,-14.87,-1.48,0.293,0.526,6.4,0.2235,1
SK Meerhout,Belgian Pro League,117.7,0.785,8.3,0.455,45.5,-5.64,-6.15,0.299,0.462,3.7,0.0191,0
SK Meerhout,Belgian Pro League,226.6,0.612,37.9,0.417,49.1,7.9,-1.59,0.285,0.851,8.9,0.0001,0
FC Walloon Rovers,Belgian Pro League,27.0,1.037,-2.1,0.886,-6.9,-2.47,-0.88,0.353,0.894,8.3,0.7966,1
SpVgg Lindenau,Bundesliga,93.1,0.618,51.2,0.291,36.0,-0.94,0.39,0.671,0.759,9.1,0.0007,0
SC Eichberg,Bundesliga,91.3,0.575,-2.0,0.671,9.0,-1.24,-4.51,0.443,0.32,7.3,0.1362,0
FC Waldkirchen,Bundesliga,159.2,0.882,8.1,0.725,36.1,-8.94,-3.75,0.33,0.038,5.5,0.5753,1
TSV Mooshausen,Bundesliga,63.0,0.796,23.9,0.332,27.5,6.64,3.11,0.285,0.925,5.4,0.0001,0
SK Meerhout,Belgian Pro League,91.1,0.983,-21.3,0.677,1.2,-11.91,2.44,0.209,0.992,8.6,0.2877,0
VfL Donaustein,Bundesliga,90.2,0.586,34.3,0.52,10.8,0.22,3.24,0.382,0.127,4.5,0.0379,0
SC Lindehoven,Eredivisie,126.7,0.947,11.6,0.745,10.5,-9.9,-2.45,0.255,0.686,5.2,0.2518,0
SV Rheinfelden,Bundesliga,104.8,0.56,55.3,0.792,44.7,-13.6,-3.27,0.214,0.425,2.0,0.0037,0
Union Kempen,Belgian Pro League,78.1,0.568,30.1,0.785,44.2,-10.7,-2.97,0.251,0.149,8.2,0.0776,0
RKC Zandvoort-Noord,Eredivisie,185.6,0.743,-6.5,0.207,-7.0,11.08,9.02,0.359,0.998,0.9,0.0004,0
Borussia Talheim,Bundesliga,207.8,0.608,-0.7,0.637,13.3,-9.72,-2.1,0.575,0.933,11.9,0.0036,0
KAS Dendermonde-West,Belgian Pro League,164.8,0.822,-6.1,0.767,13.9,-6.65,2.12,0.233,0.983,1.7,0.0298,0
FC Hertenbos,Eredivisie,221.4,0.5,67.1,0.543,33.6,-10.86,0.46,0.539,0.144,4.6,0.014,0
KV Scheldebrug,Belgian Pro League,79.7,0.571,29.7,0.61,5.3,7.07,7.52,0.51,0.492,2.9,0.0024,0
SK Meerhout,Belgian Pro League,165.4,0.891,20.1,0.206,6.6,-1.64,-2.62,0.641,0.896,3.5,0.0112,0
Olympia Dollard,Eredivisie,92.3,0.656,-6.0,0.767,46.8,13.31,-1.32,0.292,0.675,3.9,0.0046,0
Union Kempen,Belgian Pro League,177.7,0.848,55.9,0.2,16.3,4.93,6.86,0.597,0.435,8.6,0.0039,0
TSV Mooshausen,Bundesliga,135.2,0.916,-0.9,0.395,30.3,0.94,-6.78,0.632,0.517,2.1,0.1319,0
Olympia Dollard,Eredivisie,160.4,0.546,41.0,0.772,26.1,4.7,1.89,0.688,0.039,3.2,0.0383,0
RKC Zandvoort-Noord,Eredivisie,68.3,0.958,34.5,0.84,12.3,-13.79,-2.0,0.604,0.612,1.2,0.5148,1
FC Hertenbos,Eredivisie,191.1,0.64,12.9,0.797,31.5,13.52,9.72,0.262,0.86,4.0,0.0008,0
VfL Donaustein,Bundesliga,206.2,0.696,30.8,0.459,8.0,13.69,4.43,0.674,0.003,11.3,0.0185,0
RKC Zandvoort-Noord,Eredivisie,29.3,0.621,-11.7,0.368,9.7,-6.72,-9.79,0.607,0.16,4.6,0.3819,0
SV Rheinfelden,Bundesliga,45.7,1.004,2.2,0.558,42.3,3.85,6.79,0.306,0.518,9.3,0.017,0
Royal Ardennes FC,Belgian Pro League,174.8,0.8,62.6,0.237,41.4,-8.94,4.06,0.283,0.561,5.5,0.0013,0
Union Kempen,Belgian Pro League,104.3,0.803,33.3,0.77,33.4,1.42,1.22,0.668,0.343,5.4,0.097,0
KV Scheldebrug,Belgian Pro League,125.9,1.034,47.7,0.558,-9.8,8.12,-5.28,0.278,0.028,9.9,0.9315,1
SC Eichberg,Bundesliga,51.7,0.739,15.4,0.501,-7.1,13.19,-7.01,0.589,0.744,0.3,0.0277,0
KV Scheldebrug,Belgian Pro League,137.6,0.989,2.3,0.244,-6.0,-4.82,2.57,0.403,0.243,10.4,0.5209,0
FC Waldkirchen,Bundesliga,156.8,0.891,41.0,0.441,42.7,5.81,-1.2,0.562,0.645,5.8,0.0033,0
FC Hertenbos,Eredivisie,181.9,0.988,27.6,0.722,32.4,6.49,7.23,0.246,0.559,4.2,0.0157,0
Royal Ardennes FC,Belgian Pro League,229.7,0.955,8.3,0.59,15.9,-8.37,-4.75,0.563,0.431,10.9,0.1834,0
VV Polderkamp,Eredivisie,44.8,1.084,4.7,0.299,38.6,3.87,2.75,0.456,0.59,4.1,0.0154,0
Union Kempen,Belgian Pro League,107.1,0.608,29.1,0.313,3.9,4.66,-5.02,0.65,0.695,11.7,0.003,0
TSV Mooshausen,Bundesliga,146.5,0.935,41.5,0.439,18.6,7.92,2.73,0.294,0.572,11.2,0.0088,0
RFC Lysveld,Belgian Pro League,146.4,0.94,3.6,0.253,-4.1,15.0,-9.03,0.255,0.558,3.2,0.0507,0
FC Maasdijk,Eredivisie,143.3,0.858,52.0,0.787,5.8,-13.79,-2.17,0.298,0.436,4.1,0.2356,0
Borussia Talheim,Bundesliga,103.6,0.686,9.1,0.63,49.1,-8.93,-6.55,0.239,0.43,9.7,0.0128,0
TSV Mooshausen,Bundesliga,98.8,1.045,0.2,0.276,33.8,-10.65,2.12,0.69,0.491,2.3,0.0254,0
SV Rheinfelden,Bundesliga,100.1,0.649,-5.5,0.719,-0.0,-10.37,-3.67,0.261,0.452,8.8,0.2479,0
SC Eichberg,Bundesliga,52.5,0.825,35.7,0.477,3.4,-1.37,5.43,0.3,0.439,1.5,0.0238,0
SpVgg Lindenau,Bundesliga,92.6,0.817,5.8,0.375,24.4,11.36,-7.71,0.605,0.21,2.5,0.3098,0
FC Walloon Rovers,Belgian Pro League,126.6,0.615,19.8,0.564,-1.4,-1.54,1.12,0.323,0.725,6.0,0.007,0
RFC Lysveld,Belgian Pro League,216.9,0.864,10.4,0.156,20.3,5.05,1.87,0.311,0.133,9.0,0.0251,0
RKC Zandvoort-Noord,Eredivisie,198.7,0.543,43.9,0.456,32.2,-3.71,-9.56,0.536,0.909,8.9,0.0005,0
KVC Houtland,Belgian Pro League,222.4,0.846,54.0,0.684,5.3,-5.41,-9.28,0.399,0.625,7.3,0.1511,0
Borussia Talheim,Bundesliga,78.2,0.994,3.0,0.821,0.8,10.03,-3.84,0.618,0.049,3.3,0.9919,1
TSV Mooshausen,Bundesliga,120.0,0.715,54.6,0.422,5.6,4.67,2.18,0.519,0.659,5.0,0.0025,0
AFC Kanaalstad,Eredivisie,213.3,0.859,-4.9,0.561,43.6,-4.47,9.25,0.344,0.362,3.0,0.1827,0
KV Scheldebrug,Belgian Pro League,241.6,0.559,6.4,0.279,20.0,12.42,-8.18,0.499,0.93,3.3,0.0003,0
Union Kempen,Belgian Pro League,134.3,0.967,28.8,0.553,19.2,-0.04,4.06,0.633,0.936,3.9,0.0133,0
Olympia Dollard,Eredivisie,67.9,1.053,29.7,0.395,-0.5,-9.35,3.85,0.382,0.846,7.2,0.0351,0
KAS Dendermonde-West,Belgian Pro League,112.6,0.616,0.2,0.573,37.0,-0.5,3.39,0.568,0.568,2.5,0.0034,0
FC Maasdijk,Eredivisie,122.8,0.892,24.8,0.311,-7.5,5.24,0.32,0.408,0.919,0.5,0.01,0
KVC Houtland,Belgian Pro League,153.6,0.781,10.3,0.786,-5.9,-3.99,9.34,0.472,0.65,8.3,0.0705,0
FC Hertenbos,Eredivisie,215.1,0.766,35.7,0.716,34.9,10.31,0.04,0.567,0.875,0.3,0.002,0
Borussia Talheim,Bundesliga,119.1,0.901,32.4,0.419,29.7,0.99,6.77,0.23,0.16,11.6,0.0099,0
AFC Kanaalstad,Eredivisie,226.9,0.738,69.3,0.639,7.0,-0.97,-4.75,0.427,0.904,4.2,0.0017,0
Union Kempen,Belgian Pro League,225.8,0.797,29.3,0.204,10.6,10.76,6.13,0.248,0.662,0.1,0.001,0
SC Eichberg,Bundesliga,217.5,0.608,43.2,0.621,52.6,-1.11,9.93,0.563,0.303,10.6,0.0028,0
KVC Houtland,Belgian Pro League,79.7,0.749,21.5,0.407,-2.9,-2.57,8.2,0.504,0.998,7.2,0.0017,0
SV Rheinfelden,Bundesliga,178.4,0.956,13.1,0.256,-4.6,-11.89,-3.92,0.363,0.687,9.8,0.065,0
SC Lindehoven,Eredivisie,56.6,0.62,-6.2,0.673,20.6,-4.13,6.92,0.238,0.908,5.2,0.0012,0
KV Scheldebrug,Belgian Pro League,67.7,0.869,51.7,0.533,4.0,-3.09,-8.09,0.663,0.006,4.3,0.8525,1
VV Polderkamp,Eredivisie,205.0,0.59,7.7,0.494,34.6,-9.58,3.55,0.358,0.552,7.9,0.0057,0
FC Nordhafen,Bundesliga,77.6,0.993,37.6,0.56,24.7,2.63,-3.16,0.338,0.713,4.9,0.0193,0
AFC Kanaalstad,Eredivisie,68.9,0.858,-13.0,0.27,19.0,-10.68,3.17,0.251,0.014,6.7,0.4064,0
Sparta Veenendaal,Eredivisie,209.5,0.702,54.3,0.185,28.9,-8.29,-1.76,0.489,0.763,3.3,0.0008,0
SpVgg Lindenau,Bundesliga,120.6,0.663,-3.8,0.587,19.4,1.83,-9.82,0.333,0.651,4.0,0.0159,0
KV Scheldebrug,Belgian Pro League,81.1,0.779,51.7,0.624,35.5,-6.93,-5.37,0.621,0.275,1.0,0.0362,0
VV Polderkamp,Eredivisie,93.4,1.044,31.5,0.248,-15.7,4.19,-9.15,0.541,0.689,9.4,0.2818,0
Sparta Veenendaal,Eredivisie,209.8,0.757,-0.7,0.394,9.3,5.72,-1.45,0.202,0.131,4.2,0.1699,0
KAS Dendermonde-West,Belgian Pro League,39.5,0.815,25.7,0.641,29.8,-5.96,6.8,0.483,0.824,11.7,0.0043,0
AFC Kanaalstad,Eredivisie,224.5,0.873,40.6,0.563,6.8,-12.38,4.76,0.316,0.866,3.1,0.0096,0
RKC Zandvoort-Noord,Eredivisie,217.1,0.686,19.2,0.677,-2.5,-0.32,5.78,0.208,0.485,5.7,0.0423,0
KVC Houtland,Belgian Pro League,116.8,0.757,1.5,0.474,11.2,-12.21,6.14,0.51,0.507,3.7,0.0415,0
VfL Donaustein,Bundesliga,81.3,0.727,32.6,0.576,34.2,0.46,-2.56,0.302,0.402,8.3,0.005,0
AFC Kanaalstad,Eredivisie,59.8,0.64,31.8,0.608,1.5,6.79,0.12,0.65,0.345,9.7,0.0102,0
Union Kempen,Belgian Pro League,241.6,0.848,21.3,0.333,31.2,3.61,0.17,0.487,0.873,5.8,0.0008,0
SV Rheinfelden,Bundesliga,73.0,1.009,43.7,0.264,29.3,-1.55,-7.74,0.305,0.305,4.4,0.041,0
Royal Ardennes FC,Belgian Pro League,60.5,1.032,-4.5,0.24,20.2,13.38,1.96,0.69,0.403,8.9,0.1697,1
SpVgg Lindenau,Bundesliga,143.4,0.981,-10.1,0.725,-1.7,-11.95,4.4,0.473,0.3,2.3,0.9685,1
SV Rheinfelden,Bundesliga,239.2,0.713,42.0,0.263,40.2,11.4,2.22,0.283,0.657,7.2,0.0002,0
SV Rheinfelden,Bundesliga,220.3,0.635,1.8,0.549,7.2,9.0,4.92,0.459,0.814,8.8,0.0041,0
VfL Donaustein,Bundesliga,78.5,0.885,-1.8,0.596,41.0,-2.41,-7.62,0.68,0.164,3.2,0.3226,0
FC Waldkirchen,Bundesliga,108.0,1.036,19.4,0.465,24.4,-10.41,5.23,0.412,0.255,7.9,0.2297,0
Sparta Veenendaal,Eredivisie,45.2,0.946,-5.0,0.779,-12.0,-10.32,-5.84,0.413,0.104,8.8,0.9973,1
Royal Ardennes FC,Belgian Pro League,65.0,0.816,-8.1,0.681,36.7,12.65,7.54,0.431,0.16,1.4,0.1636,0
KV Scheldebrug,Belgian Pro League,156.3,0.875,40.2,0.197,17.3,-7.99,-5.1,0.34,0.407,3.9,0.1549,0
FC Nordhafen,Bundesliga,141.4,0.925,26.4,0.688,12.5,11.22,-0.16,0.281,0.776,4.9,0.0286,0
Royal Ardennes FC,Belgian Pro League,39.7,1.049,37.0,0.573,6.8,0.1,-0.25,0.489,0.542,9.3,0.3419,0
SC Eichberg,Bundesliga,140.1,0.921,28.9,0.413,21.9,-1.15,-4.62,0.647,0.053,6.8,0.6112,0
FC Walloon Rovers,Belgian Pro League,71.0,0.782,13.2,0.696,33.3,3.59,-2.77,0.568,0.625,5.4,0.0208,0
Union Kempen,Belgian Pro League,73.3,0.698,-3.6,0.669,46.1,-8.55,-6.29,0.248,0.795,3.8,0.0059,0
KVC Houtland,Belgian Pro League,126.5,0.79,43.5,0.398,5.9,-2.15,1.4,0.4,0.393,0.0,0.0391,0
FC Maasdijk,Eredivisie,97.7,0.715,-5.7,0.845,29.7,13.15,8.26,0.203,0.245,0.2,0.0789,0
FC Maasdijk,Eredivisie,238.3,0.969,14.4,0.55,25.2,-7.85,-3.67,0.354,0.764,2.9,0.0432,0
Borussia Talheim,Bundesliga,135.5,0.791,48.4,0.582,30.0,12.65,0.16,0.535,0.024,1.4,0.079,0
KV Scheldebrug,Belgian Pro League,74.8,0.8,33.5,0.273,18.8,14.83,7.24,0.345,0.816,1.4,0.0013,0
RKC Zandvoort-Noord,Eredivisie,192.5,0.681,37.5,0.34,16.4,-13.44,-0.95,0.62,0.804,7.2,0.0025,0
FC Maasdijk,Eredivisie,119.1,0.866,-15.3,0.489,32.9,0.94,6.63,0.439,0.888,7.3,0.0117,0
AFC Kanaalstad,Eredivisie,169.2,0.781,-2.6,0.578,7.8,-9.85,-1.07,0.535,0.089,0.5,0.4643,0
VfL Donaustein,Bundesliga,97.4,0.611,17.6,0.544,7.5,3.65,-1.2,0.642,0.108,7.1,0.0523,0
KVC Houtland,Belgian Pro League,156.1,0.969,43.5,0.671,16.8,14.69,-6.86,0.541,0.873,1.7,0.0131,0
Borussia Talheim,Bundesliga,42.1,0.756,8.3,0.415,6.6,11.91,-7.5,0.649,0.475,4.5,0.1088,0
